name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Dutch Courses Rotterdam·Lien consulté,"Benthuizerstraat 30C, 3036 CH Rotterdam, Pays-Bas",dutchcoursesrotterdam.com,+31 6 15638548,,4.9,52.102726,4.5087638
Dutch Classes Rotterdam·Lien consulté,"Weena 25, 3013 CB Rotterdam, Pays-Bas",dutchclasses.nl,+31 6 12883300,,5.0,51.9249664,3.900161
Masterclass Dutch - Nederlandse Taalcursus / Dutch Courses / NT2 / Inburgering / Intensive Dutch Courses in Rotterdam·Lien consulté,"Botersloot 9C, 3011 HE Rotterdam, Pays-Bas",masterclassdutch.com,+31 10 753 2037,,4.7,51.9249664,3.900161
Direct Dutch Institute·Lien consulté,"Laan van Nieuw Oost-Indië 275, 2593 BS Den Haag, Pays-Bas",directdutch.com,+31 70 365 4677,,4.6,51.9249664,3.900161
Baay Dutch Language Courses·Lien consulté,"Wijnhaven 36b, 3011 WS Rotterdam, Pays-Bas",dutchlanguagecourses.nl,+31 6 19870786,,4.8,51.9249664,3.900161
Dutch of Course·Lien consulté,,dutchofcourse.nl,,,5.0,52.6745519,4.3342285
Taalthuis Amsterdam- Learn Dutch - Dutch Courses·Lien consulté,"Van Baerlestraat 13, 1071 AM Amsterdam, Pays-Bas",taalthuis.nl,+31 23 305 0305,,5.0,52.3597202,4.3008811
Fundamental Workshops·Lien consulté,"Jacob Catslaan 71, 2332 AT Leiden, Pays-Bas",fundamentalworkshops.nl,+31 6 46394229,,,52.161737,3.8937795
Dutch Language Courses·Lien consulté,"Laan van Meerdervoort 198B, 2517 BJ Den Haag, Pays-Bas",dulanco.com,+31 6 87267722,,5.0,52.161737,3.8937795
The BD School·Lien consulté,"Noordsingel 168, 3032 BK Rotterdam, Pays-Bas",thebdschool.com,+31 6 34579359,,5.0,52.161737,3.8937795
